date,dau_approx,wau_approx,mau_approx,total_requests,human_requests,page_views,api_requests,errors_4xx,errors_5xx
2026-05-25,79,79,79,204383,35346,33753,1593,998,1
2026-05-26,290,360,360,211029,36253,34969,1284,603,0
2026-05-27,81,433,433,209648,35183,34882,301,348,0
2026-05-28,75,491,491,211928,36384,35381,1003,759,0
2026-05-29,75,552,552,211778,36186,34870,1316,616,2
2026-05-30,57,585,585,208990,34906,34761,145,191,1
2026-05-31,70,630,630,211315,36140,34948,1192,608,0
2026-06-01,128,673,721,216115,38139,35214,2925,1448,3
2026-06-02,145,498,820,221213,42097,35358,6739,2767,5
2026-06-03,102,486,878,214011,37320,35091,2229,987,46
2026-06-04,116,514,959,207728,38696,33540,5156,2241,66
2026-06-05,96,525,1023,132865,26117,22374,3743,2542,8
2026-06-06,61,528,1061,214156,36902,34859,2043,819,7
2026-06-07,54,524,1097,211032,35965,34744,1221,568,2
2026-06-08,125,534,1176,217979,39332,35021,4311,1827,5
2026-06-09,80,487,1228,212596,36788,34895,1893,922,2
2026-06-10,17,438,1240,61721,10330,10224,106,38,0
2026-06-12,1,281,1240,5347,5345,5345,0,58,0
2026-06-13,1,235,1240,17280,17280,17280,0,0,0
2026-06-14,1,197,1240,17280,17280,17280,0,0,0
2026-06-15,100,184,1315,11983,5211,726,4485,1842,2
2026-06-16,69,166,1354,10416,5010,422,4588,1893,4
2026-06-17,958,1098,2296,10447,5840,4294,1546,4539,0
2026-06-18,666,1738,2929,12532,6496,1399,5097,2585,2
2026-06-19,163,1871,3060,15636,10858,7611,3247,6786,1
2026-06-20,123,1979,3162,3624,1439,347,1092,667,0
2026-06-21,71,2042,3224,3772,1154,307,847,409,0
2026-06-22,120,2064,3311,10834,4315,689,3626,1496,2
2026-06-23,131,2129,3417,7851,3600,670,2930,1574,5
2026-06-24,73,1250,3429,18583,4728,401,4327,10849,0
2026-06-25,95,692,3233,7440,1612,544,1068,3698,0
2026-06-26,215,745,3356,5200,2554,633,1921,1180,0
2026-06-27,51,669,3333,10260,586,336,250,8624,0
2026-06-28,67,660,3319,2840,842,224,618,348,0
2026-06-29,86,620,3327,7008,2873,510,2363,1054,0
2026-06-30,81,559,3335,6223,2616,347,2269,1143,0
2026-07-01,82,566,3320,5982,2155,387,1768,818,2
2026-07-02,145,616,3341,6716,2447,347,2100,1031,0
2026-07-03,72,470,3324,5043,1897,273,1624,523,1
2026-07-04,40,460,3261,2321,609,199,410,301,3
2026-07-05,38,435,3221,2761,965,391,574,476,0
2026-07-06,120,478,3277,10400,7247,5558,1689,5627,1
2026-07-07,99,506,3318,11924,6056,741,5315,2290,1
2026-07-08,401,827,3551,5982,2417,642,1775,1006,1
2026-07-09,386,1067,3857,105163,48931,39478,9453,19852,413
2026-07-10,6050,7020,9838,92579,46097,39335,6762,10984,171
2026-07-11,6,6992,9840,454,223,13,210,87,0
2026-07-12,6,6970,9844,1259,875,38,837,134,0
2026-07-13,20,6882,9860,3718,2099,170,1929,783,22
2026-07-14,20,6817,9873,3687,1772,99,1673,477,0
2026-07-15,31,6459,9837,6469,2834,245,2589,976,2
2026-07-16,20,6122,9807,1602,452,36,416,124,0
2026-07-17,10,85,8877,2462,1374,95,1279,164,0
